Category: All categories

Week,udemy: (Worldwide),coursera: (Worldwide),edx: (Worldwide)
2023-02-12,86,42,10
2023-02-19,84,44,10
2023-02-26,81,43,10
2023-03-05,79,41,10
2023-03-12,80,42,10
2023-03-19,77,44,9
2023-03-26,78,42,9
2023-04-02,77,42,10
2023-04-09,71,41,10
2023-04-16,69,38,9
2023-04-23,73,37,10
2023-04-30,72,41,9
2023-05-07,71,41,10
2023-05-14,74,42,9
2023-05-21,80,42,9
2023-05-28,74,43,9
2023-06-04,73,43,10
2023-06-11,77,48,11
